CD_CLIENTE;SEGMENTO;FAIXA_FATURAMENTO;MARCA_TOTVS;MODALIDADE_COMERCIALIZADA;REGIAO;RESPOSTA_NPS_RELACIONAL;Tempo_Relacionamento_media;RECEITA_RECORRENTE_media;QTDE_TICKETS_media;UF;UF_AJUSTADA
TA4372;VAREJO;Faixa 05 - De 35 M ate 50 M;DISTRIBUICAO & VAREJO - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;2836,764706;670341290;313;SP;SP
T94555;VAREJO;Faixa 06 - De 50 M ate 75 M;DISTRIBUICAO & VAREJO - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;10;2704,357143;2094549372;119;SP;SP
T98737;CONSTRUCAO E PROJETOS;Faixa 11 - Acima de 850 M;CONSTRUCAO - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;2606,540984;8115057632;878;SP;SP
TAAKAH;LOGISTICA;Faixa 08 - De 150 M ate 300 M;FLUIG - CORE;MODALIDADE CORPORATIVO;Sudeste;9;2618,621951;1233982481;241;MG;MG
TAAQTH;DISTRIBUICAO;Faixa 00 - Ate 4,5 M;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;3021,5;83139406;3;SP;SP
TA6050;EDUCACIONAL;Faixa 09 - De 300 M ate 500 M;EDUCACIONAL - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;2093,875;3109212145;107;SP;SP
TA8414;LOGISTICA;Faixa 07 - De 75 M ate 150 M;DISTRIBUICAO & LOGISTICA - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;2612,7;2514716234;36;SP;SP
TAAHZV;VAREJO;Faixa 06 - De 50 M ate 75 M;DISTRIBUICAO & VAREJO - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;2730,066667;2720158758;160;ES;ES
TAAJZ3;DISTRIBUICAO;Faixa 01 - De 4,5 M ate 7,5 M;DISTRIBUICAO & LOGISTICA - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;2225,419355;1295342715;42;MG;MG
TAAJWZ;LOGISTICA;Faixa 01 - De 4,5 M ate 7,5 M;DISTRIBUICAO & LOGISTICA - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;2456,918919;336333659;28;SP;SP
